Constituency_ID,Constituency_Name,Winner_Name,Winner_Party,Winner,Region,Margin,Turnout_Percentage,Seats
1,Nippani,Jolle Shashikala Annasaheb,BJP,BJP,Karnataka,0,72.0,1
2,Chikkodi-Sadalga,Ganesh Prakash Hukkeri,INC,INC,Karnataka,0,72.0,1
3,Athani,Laxman Sangappa Savadi,INC,INC,Karnataka,0,72.0,1
4,Kagwad,Bharamgouda Alagouda Kage,INC,INC,Karnataka,0,72.0,1
5,Kudachi (SC),Mahendra Kallappa Tammannavar,INC,INC,Karnataka,0,72.0,1
6,Raybag (SC),Aihole Duryodhan Mahalingappa,BJP,BJP,Karnataka,0,72.0,1
7,Hukkeri,Katti Nikhil Umesh,BJP,BJP,Karnataka,0,72.0,1
8,Arabhavi,Balachandra Laxmanrao Jarkiholi,BJP,BJP,Karnataka,0,72.0,1
9,Gokak,Jarkiholi Ramesh Laxmanrao,BJP,BJP,Karnataka,0,72.0,1
10,Yemkanmardi (ST),Satish Laxmanrao Jarkiholi,INC,INC,Karnataka,0,72.0,1
11,Belgaum Uttar,Asif Sait,INC,INC,Karnataka,0,72.0,1
12,Belgaum Dakshin,Abhay Patil,BJP,BJP,Karnataka,0,72.0,1
13,Belgaum Rural,Laxmi R. Hebbalkar,INC,INC,Karnataka,0,72.0,1
14,Khanapur,Vithal Somanna Halagekar,BJP,BJP,Karnataka,0,72.0,1
15,Kittur,Babasaheb Patil,INC,INC,Karnataka,0,72.0,1
16,Bailhongal,Koujalagi Mahantesh Shivanand,INC,INC,Karnataka,0,72.0,1
17,Saundatti Yellamma,Vishwas Vasant Vaidya,INC,INC,Karnataka,0,72.0,1
18,Ramdurg,Ashok Mahadevappa Pattan,INC,INC,Karnataka,0,72.0,1
19,Mudhol (SC),Ramappa Timmapur,INC,INC,Karnataka,0,72.0,1
20,Terdal,Siddu Savadi,BJP,BJP,Karnataka,0,72.0,1
21,Jamkhandi,Jagadeesh Shivayya Gudagunti,BJP,BJP,Karnataka,0,72.0,1
22,Bilgi,J. T. Patil,INC,INC,Karnataka,0,72.0,1
23,Badami,B. B. Chimmanakatti,INC,INC,Karnataka,0,72.0,1
24,Bagalkot,Meti Hullappa Yamanappa,INC,INC,Karnataka,0,72.0,1
25,Hungund,Kashappanavara Vijayanand Shivashankrapaa,INC,INC,Karnataka,0,72.0,1
26,Muddebihal,Channabasavaraj,INC,INC,Karnataka,0,72.0,1
27,Devara Hippargi,Bhimanagouda Basanagouda Patil,JD(S),JDS,Karnataka,0,72.0,1
28,Basavana Bagevadi,Shivanand Patil,INC,INC,Karnataka,0,72.0,1
29,Babaleshwar,M. B. Patil,INC,INC,Karnataka,0,72.0,1
30,Bijapur City,Basanagouda R Patil,BJP,BJP,Karnataka,0,72.0,1
31,Nagthan (SC),Katakadhond Vitthal Dondiba,INC,INC,Karnataka,0,72.0,1
32,Indi,Yashavantaraygoud Vittalagoud Patil,INC,INC,Karnataka,0,72.0,1
33,Sindgi,Ashok Mallappa Managuli,INC,INC,Karnataka,0,72.0,1
34,Afzalpur,M.Y. Patil,INC,INC,Karnataka,0,72.0,1
35,Jewargi,Ajay Dharam Singh,INC,INC,Karnataka,0,72.0,1
36,Shorapur (ST),Raja Venkatappa Naik,INC,INC,Karnataka,0,72.0,1
37,Shahapur,Sharanabasappa Darshanapur,INC,INC,Karnataka,0,72.0,1
38,Yadgir,Channareddy Patil Tunnur,INC,INC,Karnataka,0,72.0,1
39,Gurmitkal,Sharana Gowda Kandakur,JD(S),JDS,Karnataka,0,72.0,1
40,Chittapur (SC),Priyank Kharge,INC,INC,Karnataka,0,72.0,1
41,Sedam,Sharanprakash Rudrappa Patil,INC,INC,Karnataka,0,72.0,1
42,Chincholi (SC),Avinash Umesh Jadhav,BJP,BJP,Karnataka,0,72.0,1
43,Gulbarga Rural (SC),Basawaraj Mattimudu,BJP,BJP,Karnataka,0,72.0,1
44,Gulbarga Dakshin,Allamprabhu Patil,INC,INC,Karnataka,0,72.0,1
45,Gulbarga Uttar,Kaneez Fatima,INC,INC,Karnataka,0,72.0,1
46,Aland,Bhojaraj,INC,INC,Karnataka,0,72.0,1
47,Basavakalyan,Sharanu Salagar,BJP,BJP,Karnataka,0,72.0,1
48,Homnabad,Siddu Patil,BJP,BJP,Karnataka,0,72.0,1
49,Bidar South,Shailendra Beldale,BJP,BJP,Karnataka,0,72.0,1
50,Bidar,Rahim Khan,INC,INC,Karnataka,0,72.0,1
51,Bhalki,Eshwar Khandre,INC,INC,Karnataka,0,72.0,1
52,Aurad (SC),Prabhu B Chavan,BJP,BJP,Karnataka,0,72.0,1
53,Raichur Rural (ST),Basanagouda Daddal,INC,INC,Karnataka,0,72.0,1
54,Raichur,Shivaraj Patil,BJP,BJP,Karnataka,0,72.0,1
55,Manvi (ST),G. Hampayya Nayak Sahukar Ballatagi,INC,INC,Karnataka,0,72.0,1
56,Devadurga (ST),Karemma G.Nayaka,JD(S),JDS,Karnataka,0,72.0,1
57,Lingsugur (SC),Manappa D Vajjal,BJP,BJP,Karnataka,0,72.0,1
58,Sindhanur,Hampanagouda Badarli,INC,INC,Karnataka,0,72.0,1
59,Maski (ST),Basan Gouda Turvihal,INC,INC,Karnataka,0,72.0,1
60,Kushtagi,Doddanagouda Hanamagouda Patil,BJP,BJP,Karnataka,0,72.0,1
61,Kanakagiri (SC),Tangadagi Shivaraj Sangappa,INC,INC,Karnataka,0,72.0,1
62,Gangawati,G Janardhan Reddy,KRPP,Others,Karnataka,0,72.0,1
63,Yelburga,Basavaraj Rayareddi,INC,INC,Karnataka,0,72.0,1
64,Koppal,K. Raghavendra Basavaraj Hitnal,INC,INC,Karnataka,0,72.0,1
65,Shirahatti (SC),Chandru Lamani,BJP,BJP,Karnataka,0,72.0,1
66,Gadag,H. K. Patil,INC,INC,Karnataka,0,72.0,1
67,Ron,Gurupadagouda Sanganagouda Patil,INC,INC,Karnataka,0,72.0,1
68,Nargund,C C Patil,BJP,BJP,Karnataka,0,72.0,1
69,Navalgund,N H Konaraddi,INC,INC,Karnataka,0,72.0,1
70,Kundgol,M R Patil,BJP,BJP,Karnataka,0,72.0,1
71,Dharwad,Vinay Kulkarni,INC,INC,Karnataka,0,72.0,1
72,Hubli-Dharwad-East (SC),Abbayya Prasad,INC,INC,Karnataka,0,72.0,1
73,Hubli-Dharwad Central,Mahesh Tenginakai,BJP,BJP,Karnataka,0,72.0,1
74,Hubli-Dharwad- West,Arvind Bellad,BJP,BJP,Karnataka,0,72.0,1
75,Kalghatgi,Santosh S. Lad,INC,INC,Karnataka,0,72.0,1
76,Haliyal,Despande Raghunath,INC,INC,Karnataka,0,72.0,1
77,Karwar,Satish Krishna Sail,INC,INC,Karnataka,0,72.0,1
78,Kumta,Dinakar Keshav Shetty,BJP,BJP,Karnataka,0,72.0,1
79,Bhatkal,Mankal Vaidya,INC,INC,Karnataka,0,72.0,1
80,Sirsi,Bhimanna T Naik,INC,INC,Karnataka,0,72.0,1
81,Yellapur,Andalagi Veerabhadragouda Shivanagoud Patil,INC,INC,Karnataka,0,72.0,1
82,Hangal,Mane Shrinivas,INC,INC,Karnataka,0,72.0,1
83,Shiggaon,Basavaraj Bommai,BJP,BJP,Karnataka,0,72.0,1
84,Haveri (SC),Rudrappa Manappa Lamani,INC,INC,Karnataka,0,72.0,1
85,Byadgi,Basavaraj Neelappa Shivannanavar,INC,INC,Karnataka,0,72.0,1
86,Hirekerur,Banakar U B,INC,INC,Karnataka,0,72.0,1
87,Ranebennur,Prakash . K . Koliwad,INC,INC,Karnataka,0,72.0,1
88,Hadagali (SC),Krishna Nayaka,BJP,BJP,Karnataka,0,72.0,1
89,Hagaribommanahalli (SC),Nemi Raja Naik K,JD(S),JDS,Karnataka,0,72.0,1
90,Vijayanagara,H.R. Gaviyappa,INC,INC,Karnataka,0,72.0,1
91,Kampli (ST),J.N. Ganesh,INC,INC,Karnataka,0,72.0,1
92,Siruguppa (ST),B. M. Nagaraja,INC,INC,Karnataka,0,72.0,1
93,Bellary (ST),B. Nagendra,INC,INC,Karnataka,0,72.0,1
94,Bellary City,Nara Bharath Reddy,INC,INC,Karnataka,0,72.0,1
95,Sandur (ST),E Tukaram,INC,INC,Karnataka,0,72.0,1
96,Kudligi (ST),Srinivas NT,INC,INC,Karnataka,0,72.0,1
97,Molakalmuru (ST),N Y Gopalakrishna,INC,INC,Karnataka,0,72.0,1
98,Challakere (ST),T. Raghumurthy,INC,INC,Karnataka,0,72.0,1
99,Chitradurga,K. C. Veerendra Puppy,INC,INC,Karnataka,0,72.0,1
100,Hiriyur,D. Sudhakar,INC,INC,Karnataka,0,72.0,1
101,Hosadurga,B.G. Govindappa,INC,INC,Karnataka,0,72.0,1
102,Holalkere (SC),M. Chandrappa,BJP,BJP,Karnataka,0,72.0,1
103,Jagalur (ST),B Devendrappa,INC,INC,Karnataka,0,72.0,1
104,Harapanahalli,Latha Mallikarjun,Independent,Others,Karnataka,0,72.0,1
105,Harihar,B.P. Harish,BJP,BJP,Karnataka,0,72.0,1
106,Davanagere North,S.S. Mallikarjun,INC,INC,Karnataka,0,72.0,1
107,Davanagere South,Shamanur Shivashankarappa,INC,INC,Karnataka,0,72.0,1
108,Mayakonda (SC),K.S. Basavanthappa,INC,INC,Karnataka,0,72.0,1
109,Channagiri,Basavaraju V. Shivaganga,INC,INC,Karnataka,0,72.0,1
110,Honnali,D.G. Shanthana Gowda,INC,INC,Karnataka,0,72.0,1
111,Shimoga Rural (SC),Sharada Puryanaik,JD(S),JDS,Karnataka,0,72.0,1
112,Bhadravathi,B.K. Sangameshwara,INC,INC,Karnataka,0,72.0,1
113,Shimoga,Channabasappa,BJP,BJP,Karnataka,0,72.0,1
114,Tirthahalli,Araga Jnanendra,BJP,BJP,Karnataka,0,72.0,1
115,Shikaripura,Vijayendra Yediyurappa,BJP,BJP,Karnataka,0,72.0,1
116,Sorab,Madhu Bangarappa,INC,INC,Karnataka,0,72.0,1
117,Sagar,Gopala Krishna Beluru,INC,INC,Karnataka,0,72.0,1
118,Byndoor,Gururaj Shetty Gantihole,BJP,BJP,Karnataka,0,72.0,1
119,Kundapura,A Kiran Kumar Kodgi,BJP,BJP,Karnataka,0,72.0,1
120,Udupi,Yashpal A Suvarna,BJP,BJP,Karnataka,0,72.0,1
121,Kapu,Gurme Suresh Shetty,BJP,BJP,Karnataka,0,72.0,1
122,Karkal,V. Sunill Kumar,BJP,BJP,Karnataka,0,72.0,1
123,Sringeri,T.D. Rajegowda,INC,INC,Karnataka,0,72.0,1
124,Mudigere (SC),Nayana Motamma,INC,INC,Karnataka,0,72.0,1
125,Chikmagalur,H D Thammaiah,INC,INC,Karnataka,0,72.0,1
126,Tarikere,G.H. Srinivasa,INC,INC,Karnataka,0,72.0,1
